date,US 10yr bond,UK 10yr bond
2000-10-26,5.69,5.152
2000-10-27,5.713,5.193
2000-10-30,5.732,5.177
2000-10-31,5.751,5.161
2000-11-01,5.742,5.163
2000-11-02,5.738,5.149
2000-11-03,5.827,5.14
2000-11-06,5.855,5.145
2000-11-07,5.866,5.168
2000-11-08,5.855,5.171
2000-11-09,5.825,5.155
2000-11-10,5.783,5.132
2000-11-13,5.766,5.096
2000-11-14,5.753,5.114
2000-11-15,5.731,5.101
2000-11-16,5.669,5.07
2000-11-17,5.704,5.084
2000-11-20,5.677,5.089
2000-11-21,5.652,5.067
2000-11-22,5.624,4.972
2000-11-23,5.612,4.93
2000-11-24,5.624,4.939
2000-11-27,5.624,4.898
2000-11-28,5.582,4.889
2000-11-29,5.524,4.913
2000-11-30,5.468,4.881
2000-12-01,5.503,4.87
2000-12-04,5.551,4.85
2000-12-05,5.416,4.859
2000-12-06,5.326,4.849
2000-12-07,5.309,4.863
2000-12-08,5.299,4.913
2000-12-11,5.362,4.912
2000-12-12,5.346,4.941
2000-12-13,5.258,4.896
2000-12-14,5.213,4.928
2000-12-15,5.18,4.894
2000-12-18,5.17,4.894
2000-12-19,5.188,4.932
2000-12-20,5.037,4.918
2000-12-21,5.025,4.945
2000-12-22,5.006,4.931
2000-12-25,5.008,4.931
2000-12-26,5.036,4.931
2000-12-27,5.104,4.9
2000-12-28,5.118,4.907
2000-12-29,5.112,4.881
2001-01-01,5.114,4.881
2001-01-02,4.916,4.785
2001-01-03,5.158,4.728
2001-01-04,5.039,4.787
2001-01-05,4.931,4.796
2001-01-08,4.956,4.803
2001-01-09,5,4.863
2001-01-10,5.104,4.85
2001-01-11,5.11,4.847
2001-01-12,5.25,4.926
2001-01-15,5.242,
2001-01-16,5.23,4.947
2001-01-17,5.175,4.95
2001-01-18,5.114,4.93
2001-01-19,5.168,4.932
2001-01-22,5.225,4.974
2001-01-23,5.281,4.967
2001-01-24,5.305,4.96
2001-01-25,5.245,4.949
2001-01-26,5.268,4.898
2001-01-29,5.303,4.901
2001-01-30,5.229,4.901
2001-01-31,5.114,4.836
2001-02-01,5.086,4.848
2001-02-02,5.148,4.854
2001-02-05,5.167,4.848
2001-02-06,5.183,4.845
2001-02-07,5.187,4.814
2001-02-08,5.089,4.87
2001-02-09,5.03,4.839
2001-02-12,5.046,4.848
2001-02-13,5.07,4.85
2001-02-14,5.164,4.917
2001-02-15,5.166,4.954
2001-02-16,5.109,4.947
2001-02-19,5.097,4.939
2001-02-20,5.105,4.943
2001-02-21,5.139,4.961
2001-02-22,5.156,4.985
2001-02-23,5.097,4.978
2001-02-26,5.034,4.977
2001-02-27,4.952,4.904
2001-02-28,4.896,4.798
2001-03-01,4.874,4.739
2001-03-02,4.947,4.739
2001-03-05,4.976,4.761
2001-03-06,4.971,4.757
2001-03-07,4.899,4.771
2001-03-08,4.889,4.756
2001-03-09,4.929,4.765
2001-03-12,4.891,4.758
2001-03-13,4.929,4.765
2001-03-14,4.818,4.677
2001-03-15,4.786,4.632
2001-03-16,4.77,4.562
2001-03-19,4.813,4.556
2001-03-20,4.758,4.595
2001-03-21,4.778,4.604
2001-03-22,4.756,4.539
2001-03-23,4.815,4.59
2001-03-26,4.869,4.631
2001-03-27,5.011,4.686
2001-03-28,4.975,4.692
2001-03-29,4.997,4.756
2001-03-30,4.917,4.784
2001-04-02,4.977,4.794
2001-04-03,4.929,4.766
2001-04-04,4.914,4.811
2001-04-05,4.973,4.814
2001-04-06,4.89,4.75
2001-04-09,4.932,4.754
2001-04-10,5.083,4.79
2001-04-11,5.119,4.884
2001-04-12,5.169,4.945
2001-04-13,5.163,4.947
